Example,lynx
1,2.42975228
2,2.506505032
3,2.767155866
4,2.940018155
5,3.16879202
6,3.450403086
7,3.594171479
8,3.77400573
9,3.694605199
10,3.411114419
11,2.718501689
12,1.991226076
13,2.264817823
14,2.445604203
15,2.611723308
16,3.358886204
17,3.42894429
18,3.532627001
19,3.261024834
20,2.611723308
21,2.178976947
22,1.653212514
23,1.832508913
24,2.328379603
25,2.737192643
26,3.014100322
27,3.328175661
28,3.404149249
29,2.980911938
30,2.557507202
31,2.57634135
32,2.352182518
33,2.556302501
34,2.863917377
35,3.214313897
36,3.435366507
37,3.458033192
38,3.326130957
39,2.835056102
40,2.475671188
41,2.372912003
42,2.389166084
43,2.741939078
44,3.21031852
45,3.519959181
46,3.827433895
47,3.628797486
48,2.836956737
49,2.40654018
50,2.674861141
51,2.553883027
52,2.894316063
53,3.202488317
54,3.224274014
55,3.352375495
56,3.154119526
57,2.878521796
58,2.475671188
59,2.303196057
60,2.359835482
61,2.671172843
62,2.866877814
63,3.310055738
64,3.448860846
65,3.64650175
66,3.399846713
67,2.589949601
68,1.86332286
69,1.591064607
70,1.69019608
71,1.770852012
72,2.274157849
73,2.57634135
74,3.111262514
75,3.605412798
76,3.54344718
77,2.768638101
78,2.021189299
79,2.184691431
80,2.587710965
81,2.879669206
82,3.116275588
83,3.539703239
84,3.844539302
85,3.800235789
86,3.579097327
87,3.263872677
88,2.537819095
89,2.582063363
90,2.907411361
91,3.142389466
92,3.433449794
93,3.579783597
94,3.490099005
95,3.474944335
96,3.57863921
97,2.828659897
98,1.908485019
99,1.903089987
100,2.033423755
101,2.359835482
102,2.600972896
103,3.053846427
104,3.385963571
105,3.553154548
106,3.467608106
107,3.186673867
108,2.723455672
109,2.685741739
110,2.820857989
111,3
112,3.201397124
113,3.424391554
114,3.530967682
